	average
Tspan9	0.9753258566274823
Acadvl	0.9753258566274823
Nanp	0.7143475525295849
Timm50	0.9753258566274823
Wdyhv1	0.9753258566274823
Mier3	0.9753258566274823
Efcab14	0.9753258566274823
Rgs11	0.9753258566274823
Rps6kb1	0.9753258566274823
Hpdl	0.9753258566274823
Gne	0.9753258566274823
Spg11	0.9753258566274823
Vars	0.9753258566274823
Rras2	0.9753258566274823
Mgat5b	0.9753258566274823
Fdps	0.9753258566274823
Arhgef40	0.9753258566274823
Ppp4r1	0.9527458771327573
Hadh	0.9753258566274823
Sorl1	0.9753258566274823
Aebp2	0.9232634096687504
Gpn3	0.9753258566274823
Tcf7l1	0.9753258566274823
Prepl	0.9753258566274823
Rhoq	0.9599594769059155
Sec23b	0.9753258566274823
X2310033P09Rik	0.9753258566274823
Vps54	0.9363513765713661
Nxph4	0.9753258566274823
Dcun1d3	0.9753258566274823
Jazf1	0.9753258566274823
Zdhhc3	0.9753258566274823
Emc7	0.9753258566274823
Tpst1	0.9753258566274823
Filip1l	0.9753258566274823
Sypl	0.8912191027556542
Gnal	0.9753258566274823
Cbr4	0.9753258566274823
Prr14	0.6955711142681961
Rnpc3	0.8837037368795913
Parp9	0.9435077511184958
Larp1	0.9753258566274823
Pdcd10	0.9753258566274823
Usp25	0.9250066812746388
Sbk1	0.9753258566274823
X2700097O09Rik	0.7308653382450295
L2hgdh	0.6394083554117715
Hacl1	0.9753258566274823
Taf5l	0.9753258566274823
Klc2	0.9753258566274823
Vwa5b2	0.9753258566274823
Frmd4b	0.7809954506965648
Tspan33	0.9753258566274823
Brat1	0.9753258566274823
Osbpl5	0.9481927373682063
Rcbtb1	0.9753258566274823
Tmem240	0.9753258566274823
Nadk	0.9753258566274823
Abcd3	0.9753258566274823
Golim4	0.9753258566274823
Zfp580	0.9753258566274823
Mbd2	0.9753258566274823
Slc35a1	0.9753258566274823
Nsun6	0.9753258566274823
Rab27b	0.9753258566274823
Pik3r3	0.9753258566274823
Tmem237	0.9753258566274823
Unc45a	0.9753258566274823
Coa6	0.9753258566274823
Tbl3	0.9753258566274823
Hepacam	0.9753258566274823
Fbxo3	0.9753258566274823
Kpna3	0.9632849054571461
Akap10	0.9753258566274823
Tlk1	0.9753258566274823
Pcdhb16	0.9753258566274823
Hist1h2ah	0.9753258566274823
Mrpl51	0.9753258566274823
Polrmt	0.9753258566274823
Sec61b	0.9753258566274823
Fhit	0.9753258566274823
Prdx4	0.9753258566274823
Dhx29	0.9753258566274823
Mcam	0.9753258566274823
Spata13	0.6625923755537112
Ddx28	0.9753258566274823
Lrp1b	0.9753258566274823
Samm50	0.9753258566274823
Plekhh3	0.8739286861752583
Cacna1d	0.9753258566274823
Tspyl2	0.9753258566274823
Vezf1	0.8862251792275311
Mrpl47	0.9051022024486575
Fchsd2	0.9753258566274823
Rab3ip	0.9753258566274823
Pex2	0.9753258566274823
Rad17	0.9753258566274823
Smurf2	0.9753258566274823
Sox6	0.971421280035779
X2810474O19Rik	0.9753258566274823
Dennd2c	0.9358239941644882
Add3	0.9753258566274823
Slc23a2	0.86596300233408
Tsen15	0.9753258566274823
Tmem150a	0.9753258566274823
Mcoln1	0.9753258566274823
D10Wsu52e	0.9753258566274823
Vegfb	0.9623197078540816
Ints6	0.9753258566274823
Zcchc7	0.8893348459815512
