	average
Bap1	0.9752309399777354
Atxn10	0.9752309399777354
Tsn	0.9752309399777354
Zfp654	0.9752309399777354
Sumo3	0.9752309399777354
Romo1	0.9752309399777354
Lmna	0.9752309399777354
Mtpn	0.9752309399777354
Ambra1	0.9752309399777354
Hbegf	0.9752309399777354
Tmem191c	0.9752309399777354
Fam5c	0.9752309399777354
Uggt1	0.9752309399777354
Uvrag	0.9752309399777354
Yars2	0.9752309399777354
4930503E24Rik	0.9752309399777354
Bcl10	0.9752309399777354
Gm1673	0.9752309399777354
Tmem200c	0.9752309399777354
Cacna1i	0.9752309399777354
Ndufc2	0.9752309399777354
Tubgcp3	0.9752309399777354
Ccser2	0.9752309399777354
Smyd2	0.9752309399777354
Srpk2	0.9752309399777354
Ppa1	0.9752309399777354
Slc35a5	0.9752309399777354
Ak1	0.9752309399777354
Zbtb9	0.9752309399777354
Zkscan3	0.9752309399777354
Lrrc73	0.9752309399777354
Arid4b	0.9752309399777354
Hnrnpf	0.9752309399777354
Ptp4a2	0.9752309399777354
Dnajc30	0.9752309399777354
Dusp26	0.9752309399777354
Tubg1	0.9752309399777354
Ccdc117	0.9752309399777354
Ptdss2	0.9752309399777354
Mbd1	0.9752309399777354
Lca5l	0.9752309399777354
Spag7	0.9752309399777354
Cyp51	0.9752309399777354
Anp32b	0.9752309399777354
Spry2	0.9752309399777354
Dnm3	0.9752309399777354
Cd36	0.9752309399777354
Dhx30	0.9752309399777354
Srsf2	0.9752309399777354
Atf2	0.9752309399777354
Rad21	0.9752309399777354
Ftsjd1	0.9752309399777354
Dync2h1	0.9752309399777354
Fam126a	0.9752309399777354
Tbc1d8	0.9752309399777354
Zdhhc14	0.9752309399777354
Noa1	0.9752309399777354
Ltn1	0.9752309399777354
Med28	0.9752309399777354
Kpna6	0.9752309399777354
Epb4.1l4a	0.9752309399777354
Lrp12	0.9752309399777354
Snapc2	0.9752309399777354
Lin7b	0.9752309399777354
Cbr3	0.9752309399777354
Whsc1	0.9752309399777354
2610507B11Rik	0.9752309399777354
Eif4g1	0.9752309399777354
B4galnt1	0.9752309399777354
Taf1	0.9752309399777354
Ddost	0.9752309399777354
Prmt1	0.9752309399777354
Sec61g	0.9752309399777354
Bmyc	0.9752309399777354
Zfand3	0.9752309399777354
Wbp11	0.9752309399777354
Fam107b	0.9752309399777354
Slc39a7	0.9752309399777354
Atl2	0.9752309399777354
Lrrc7	0.9752309399777354
Cgrrf1	0.9752309399777354
St8sia5	0.9752309399777354
Pcyt1b	0.9752309399777354
Otud7b	0.9752309399777354
Tbrg4	0.9752309399777354
Ptpn23	0.9752309399777354
Bcl2l12	0.9752309399777354
Jmjd8	0.9752309399777354
Ptpmt1	0.9752309399777354
Dnajc28	0.9752309399777354
Aggf1	0.9752309399777354
Rab10	0.9752309399777354
Lpgat1	0.9752309399777354
Ipcef1	0.9752309399777354
Cacna1a	0.9752309399777354
Lemd3	0.9752309399777354
Osbpl9	0.9752309399777354
Ankrd34a	0.9752309399777354
Tmtc4	0.9752309399777354
Tspan17	0.9752309399777354
Sfpq	0.9752309399777354
Tceb2	0.9752309399777354
Riok3	0.9752309399777354
Atp11c	0.9752309399777354
Acap2	0.9752309399777354
Kat6b	0.9752309399777354
Atp6v1c1	0.9752309399777354
Synj2bp	0.9752309399777354
Ccdc30	0.9752309399777354
Cep97	0.9752309399777354
Tnpo3	0.9752309399777354
Ccnl2	0.9752309399777354
Gabpa	0.9752309399777354
Itm2c	0.9752309399777354
Dnajc8	0.9752309399777354
Atxn2	0.9752309399777354
Luc7l2	0.9752309399777354
Exoc7	0.9752309399777354
Asic1	0.9752309399777354
Cited2	0.9752309399777354
Mpped2	0.9752309399777354
Ap3d1	0.9752309399777354
Klhl9	0.9752309399777354
Eef2	0.9752309399777354
Zfp354c	0.9752309399777354
2410006H16Rik	0.9752309399777354
Ptbp2	0.9752309399777354
Tmem33	0.9752309399777354
Nfasc	0.9752309399777354
Mtor	0.9752309399777354
Tmem97	0.9752309399777354
Efnb3	0.9752309399777354
Fam120a	0.9752309399777354
Ndufa8	0.9752309399777354
Bicd2	0.9752309399777354
Aspn	0.9752309399777354
Slc24a2	0.9752309399777354
Qdpr	0.9752309399777354
Itga3	0.9752309399777354
Naa60	0.9752309399777354
Prps1l3	0.9752309399777354
Rapgef1	0.9752309399777354
Nrbp1	0.9752309399777354
